date,open,high,low,close,vol,amount
2011-01-04,489.71,490.11,482.83,486.91,298567.0,140493504.0
2011-01-05,483.11,490.81,481.75,487.26,247568.0,112663512.0
2011-01-06,486.67,491.01,481.79,481.86,222520.0,99209368.0
2011-01-07,479.91,484.65,473.88,474.69,245334.0,103902200.0
2011-01-10,473.95,478.95,460.56,460.99,227501.0,79868272.0
2011-01-11,456.68,460.67,453.19,457.51,186534.0,66200876.0
2011-01-12,458.87,462.1,454.75,461.8,143019.0,55068416.0
2011-01-13,475.45,475.93,465.65,465.77,442366.0,123909152.0
2011-01-14,461.14,461.3,449.15,455.58,323953.0,132657296.0
2011-01-17,451.8,453.84,428.94,435.02,259028.0,105337528.0
2011-01-18,438.08,439.0,430.99,437.21,124015.0,45963512.0
2011-01-19,437.92,443.61,436.15,442.99,184640.0,70642336.0
2011-01-20,440.55,443.37,420.06,420.63,241861.0,96930848.0
2011-01-21,428.17,435.1,424.08,424.31,382338.0,94134536.0
2011-01-24,423.92,427.57,414.0,414.06,244385.0,71924496.0
2011-01-25,412.49,415.67,400.15,404.99,216270.0,73779352.0
2011-01-26,406.06,413.61,405.01,412.16,138374.0,43045200.0
2011-01-27,411.39,422.4,409.47,419.86,264820.0,93783520.0
2011-01-28,419.54,425.23,417.77,422.54,186504.0,66771536.0
2011-01-31,422.5,428.77,420.2,427.72,204436.0,60748184.0
2011-02-01,425.14,431.58,425.14,430.5,172504.0,54321848.0
2011-02-09,425.62,433.45,422.21,424.7,168953.0,53003548.0
2011-02-10,433.76,445.01,432.75,442.32,467490.0,113406696.0
2011-02-11,442.21,449.38,439.62,443.93,346719.0,116002952.0
2011-02-14,449.17,452.78,445.1,452.74,403890.0,139600688.0
2011-02-15,454.14,464.14,450.8,452.65,395287.0,133368336.0
2011-02-16,460.3,463.76,456.81,461.86,481797.0,115880256.0
2011-02-17,461.85,468.97,458.79,463.31,408153.0,133811984.0
2011-02-18,461.92,461.92,452.8,454.06,282123.0,90444336.0
2011-02-21,453.24,467.91,450.53,467.59,458008.0,117191424.0
2011-02-22,468.61,469.16,455.27,456.59,446239.0,137432976.0
2011-02-23,454.6,467.35,453.81,465.05,415639.0,175965504.0
2011-02-24,467.98,473.35,465.32,470.36,336322.0,131023120.0
2011-02-25,471.1,479.83,470.05,475.39,417908.0,175359600.0
2011-02-28,474.46,477.07,466.04,475.58,317742.0,117928216.0
2011-03-01,475.19,475.79,468.89,469.96,285803.0,103769656.0
2011-03-02,467.38,469.46,458.69,464.83,292995.0,97820376.0
2011-03-03,467.43,469.8,456.86,459.0,254196.0,83769856.0
2011-03-04,460.94,463.44,456.68,463.16,183626.0,61458272.0
2011-03-07,467.27,469.93,464.44,466.89,274119.0,97260800.0
2011-03-08,468.11,468.95,463.11,468.87,218676.0,64662332.0
2011-03-09,468.64,470.62,463.32,467.57,250560.0,81910344.0
2011-03-10,467.24,471.05,465.56,468.05,352018.0,124490616.0
2011-03-11,466.13,470.39,460.98,461.29,333289.0,125524400.0
2011-03-14,456.36,458.17,445.01,449.52,606602.0,134461168.0
2011-03-15,450.72,451.18,432.83,436.99,461639.0,122374016.0
2011-03-16,438.44,444.04,438.36,442.96,336166.0,103054760.0
2011-03-17,438.21,440.72,432.34,437.63,419376.0,147526720.0
2011-03-18,443.16,444.65,438.65,443.34,404757.0,188229680.0
2011-03-21,444.03,445.29,439.65,443.09,266049.0,98091464.0
2011-03-22,444.95,444.95,437.59,441.82,204225.0,66758144.0
2011-03-23,440.92,444.78,438.35,444.74,222287.0,71527280.0
2011-03-24,444.74,445.73,442.09,442.97,237980.0,79143360.0
2011-03-25,444.42,444.85,441.31,443.05,227816.0,71087752.0
2011-03-28,441.21,444.53,434.65,435.97,334527.0,102229176.0
2011-03-29,435.08,436.82,422.81,422.81,268864.0,95635032.0
2011-03-30,426.0,426.88,419.04,419.38,174006.0,50241148.0
2011-03-31,420.54,424.24,418.1,420.06,124255.0,43233032.0
2011-04-01,421.76,424.96,420.22,424.39,116453.0,34694568.0
2011-04-06,422.92,424.32,415.31,419.04,159693.0,44358240.0
2011-04-07,420.96,424.57,419.22,423.41,115780.0,39516652.0
2011-04-08,423.67,429.71,422.97,429.21,151503.0,55161300.0
2011-04-11,431.39,433.54,427.18,427.8,189713.0,64792048.0
2011-04-12,431.94,437.82,430.9,432.9,243860.0,78018576.0
2011-04-13,433.02,443.47,432.14,441.74,464372.0,81031824.0
2011-04-14,442.01,442.01,436.35,438.63,236535.0,60301512.0
2011-04-15,439.33,440.78,432.99,435.75,171813.0,47650804.0
2011-04-18,432.91,436.4,429.63,431.43,208562.0,64629716.0
2011-04-19,430.21,430.83,421.25,424.08,243085.0,72843960.0
2011-04-20,427.48,429.34,423.41,429.21,131980.0,50627548.0
2011-04-21,430.03,436.12,429.13,433.89,246587.0,51987588.0
2011-04-22,444.8,446.21,438.07,439.98,974333.0,167443696.0
2011-04-25,439.84,451.29,439.23,445.28,924427.0,139687232.0
2011-04-26,439.31,447.0,438.23,444.28,651181.0,99153904.0
2011-04-27,446.21,446.21,435.86,439.57,420433.0,68571768.0
2011-04-28,440.5,442.79,417.05,418.47,430322.0,82820864.0
2011-04-29,420.34,431.68,417.84,431.33,496548.0,76112552.0
2011-05-03,431.23,443.64,427.71,440.87,677044.0,95561936.0
2011-05-04,436.61,443.78,430.02,430.02,625386.0,93322480.0
2011-05-05,432.69,441.23,431.6,432.85,823958.0,118169888.0
2011-05-06,429.57,457.97,426.0,457.74,1291834.0,183256400.0
2011-05-09,469.16,481.37,466.56,476.33,1525251.0,234320560.0
2011-05-10,473.04,502.8,472.84,500.19,1252229.0,212427328.0
2011-05-11,501.12,505.75,492.68,499.22,1289665.0,266794528.0
2011-05-12,495.22,496.25,488.95,488.98,116122.0,69183136.0
