date,open,high,low,close,vol,amount
2012-04-09,994.89,1000.09,982.77,983.79,1167387.0,1501988096.0
2012-04-10,978.36,997.76,957.74,997.76,1320146.0,1617710208.0
2012-04-11,982.8,999.68,978.27,992.28,1116521.0,1382877440.0
2012-04-12,991.91,1006.49,986.52,1006.01,1593743.0,1974515200.0
2012-04-13,1008.1,1014.85,1001.41,1010.12,1480153.0,1818587264.0
2012-04-16,1000.49,1004.48,990.93,997.39,1034014.0,1398951424.0
2012-04-17,995.71,998.88,978.29,978.58,1118461.0,1357328384.0
2012-04-18,985.56,1013.49,985.5,1010.85,1401316.0,1559441408.0
2012-04-19,1008.03,1020.76,1004.7,1016.83,1436406.0,1733324288.0
2012-04-20,1014.88,1026.17,1011.87,1026.09,1390199.0,1583938688.0
2012-04-23,1031.14,1049.37,1027.29,1043.43,2313345.0,2675203328.0
2012-04-24,1036.13,1058.07,1010.03,1024.91,2280521.0,3127739904.0
2012-04-25,1019.54,1037.81,1010.63,1031.23,1716368.0,2030324096.0
2012-04-26,1030.16,1059.26,1026.46,1051.75,1655506.0,2214855424.0
2012-04-27,1053.05,1071.69,1052.66,1058.63,1553633.0,1997420288.0
2012-05-02,1074.95,1078.68,1064.02,1071.77,1611806.0,2293589248.0
2012-05-03,1067.31,1078.97,1065.13,1077.28,1661404.0,1934264576.0
2012-05-04,1077.03,1087.15,1067.21,1086.2,1573298.0,1899370368.0
2012-05-07,1076.86,1081.72,1067.01,1081.15,1965527.0,2188041984.0
2012-05-08,1086.88,1110.22,1085.68,1090.63,2541287.0,3165668352.0
2012-05-09,1087.66,1125.01,1085.98,1110.3,3927419.0,4939859968.0
2012-05-10,1115.53,1119.51,1098.73,1105.47,2798467.0,3998168576.0
2012-05-11,1102.47,1102.47,1073.02,1073.8,1891620.0,2801556480.0
2012-05-14,1077.58,1081.0,1057.78,1061.5,1887303.0,2288391168.0
2012-05-15,1053.71,1065.89,1046.5,1065.63,1266405.0,1558346240.0
2012-05-16,1061.6,1065.42,1038.87,1040.23,1309461.0,1653583488.0
2012-05-17,1039.44,1055.11,1033.44,1048.63,1307994.0,1514603264.0
2012-05-18,1040.71,1048.82,1021.2,1025.94,1462692.0,1730852480.0
2012-05-21,1023.97,1035.66,1017.08,1027.6,1109710.0,1534850560.0
2012-05-22,1034.37,1046.79,1031.29,1045.92,1510246.0,1701726592.0
2012-05-23,1044.27,1048.94,1030.51,1040.41,1190710.0,1635379968.0
2012-05-24,1033.04,1048.58,1033.04,1035.04,1371873.0,1673065472.0
2012-05-25,1034.15,1037.36,1018.78,1020.87,896800.0,946801536.0
2012-05-28,1014.41,1029.59,996.57,1029.59,1341779.0,1630609152.0
2012-05-29,1027.97,1052.17,1023.62,1047.45,1773621.0,2053881984.0
2012-05-30,1043.7,1047.88,1033.77,1037.24,1154714.0,1507080448.0
2012-05-31,1031.27,1041.15,1023.86,1032.01,1134208.0,1260397184.0
2012-06-01,1032.12,1042.45,1022.73,1028.49,1058006.0,1206947328.0
2012-06-04,1009.73,1011.2,979.41,981.17,1342664.0,1525026304.0
2012-06-05,982.17,987.27,979.0,980.45,799354.0,922442816.0
2012-06-06,984.19,995.78,971.94,975.72,942010.0,1134173568.0
2012-06-07,987.91,992.08,967.33,972.23,914012.0,1058841408.0
2012-06-08,981.34,982.26,967.52,968.91,743065.0,836281472.0
2012-06-11,970.68,990.35,970.68,987.76,897921.0,1072835520.0
2012-06-12,982.37,984.4,975.61,979.13,735793.0,860852352.0
2012-06-13,980.07,989.64,972.12,989.53,998490.0,1062236608.0
2012-06-14,986.3,989.35,977.15,978.16,813569.0,926160000.0
2012-06-15,982.69,987.18,972.95,983.84,1109481.0,1125027584.0
2012-06-18,990.64,998.91,988.26,990.86,909376.0,973909056.0
2012-06-19,991.89,992.95,983.58,984.48,717439.0,859125120.0
2012-06-20,986.66,989.65,979.8,980.62,726324.0,751854720.0
2012-06-21,978.07,978.07,949.44,955.81,707498.0,792209280.0
2012-06-25,955.52,958.82,923.49,924.73,971614.0,1006793216.0
2012-06-26,921.49,934.96,917.13,929.66,1113811.0,1171285888.0
2012-06-27,935.79,984.79,935.12,962.76,2531066.0,2630165248.0
2012-06-28,961.56,966.21,943.62,949.79,1407778.0,1518775936.0
2012-06-29,938.95,973.81,935.46,970.32,1274671.0,1359408512.0
