date,open,high,low,close,vol,amount
2013-02-25,1000.34,1009.16,995.51,1006.39,757137.0,885942080.0
2013-02-26,1000.53,1011.44,984.0,988.93,877013.0,1045130496.0
2013-02-27,990.66,1001.62,975.8,986.07,995261.0,1031306304.0
2013-02-28,989.64,1001.54,985.54,1001.27,815602.0,923823552.0
2013-03-01,1002.63,1008.07,992.78,1002.14,893083.0,1071611008.0
2013-03-04,995.54,1000.33,964.89,970.84,858478.0,1016829504.0
2013-03-05,969.44,995.08,966.0,993.91,839807.0,969086080.0
2013-03-06,998.74,1017.71,995.64,1017.36,1193303.0,1391628672.0
2013-03-07,1016.63,1032.37,1003.6,1011.01,1165976.0,1468828416.0
2013-03-08,1010.73,1022.66,1002.69,1004.15,655676.0,794485504.0
2013-03-11,1004.83,1018.19,992.46,1018.15,634942.0,769162560.0
2013-03-12,1015.76,1034.75,987.15,997.3,900725.0,1118252928.0
2013-03-13,995.87,1004.99,986.47,997.5,641708.0,782642240.0
2013-03-14,993.22,1013.36,993.02,1007.59,657641.0,774128832.0
2013-03-15,1006.5,1023.11,994.16,1003.93,894634.0,1182700672.0
2013-03-18,998.94,998.94,930.22,931.2,1176705.0,1636448768.0
2013-03-19,912.05,919.04,886.77,914.26,1079525.0,1649295232.0
2013-03-20,913.9,938.42,905.69,936.53,967766.0,1246077824.0
2013-03-21,945.06,961.09,945.06,957.79,1009694.0,1257474176.0
2013-03-22,955.91,969.09,952.79,966.09,858418.0,961053312.0
2013-03-25,966.74,970.83,951.69,954.16,845795.0,982373632.0
2013-03-26,952.43,952.43,929.13,944.16,925621.0,1117933568.0
2013-03-27,938.49,948.67,927.42,938.47,893826.0,1079067648.0
2013-03-28,941.56,942.97,923.22,923.49,838135.0,1080733568.0
2013-03-29,929.77,938.75,919.25,926.73,544173.0,660474496.0
2013-04-01,925.3,950.5,918.69,944.05,577418.0,694138560.0
2013-04-02,945.48,954.28,927.58,928.47,589028.0,730690496.0
2013-04-03,932.59,935.08,916.73,922.4,504258.0,559468992.0
2013-04-08,916.1,918.12,900.47,916.41,476704.0,534065184.0
2013-04-09,914.83,931.13,914.76,930.45,447069.0,555194112.0
2013-04-10,933.79,957.12,933.79,946.61,714614.0,990424704.0
2013-04-11,949.97,957.69,944.9,948.27,499396.0,576883712.0
2013-04-12,948.1,952.8,937.33,938.2,421640.0,508337312.0
2013-04-15,937.65,937.65,918.19,918.95,352315.0,456490688.0
2013-04-16,911.13,939.5,907.09,938.47,365148.0,455201024.0
2013-04-17,938.39,967.46,938.39,967.46,552364.0,809050176.0
2013-04-18,965.19,978.5,964.21,968.91,479800.0,687867264.0
2013-04-19,968.29,1002.72,968.29,998.7,598107.0,806234112.0
2013-04-22,990.69,1016.11,989.63,1015.89,545589.0,815095936.0
2013-04-23,1015.22,1016.07,985.52,987.0,496283.0,686679360.0
2013-04-24,984.04,1007.63,978.64,1004.32,583980.0,792730304.0
2013-04-25,1001.11,1001.11,972.33,972.91,545643.0,717713536.0
2013-04-26,971.73,982.04,946.75,951.13,471933.0,563055552.0
2013-05-02,949.74,970.52,945.96,970.12,423891.0,659687488.0
2013-05-03,972.17,995.5,972.17,988.19,553796.0,762762048.0
2013-05-06,992.46,1014.82,986.53,1014.82,623308.0,834177920.0
2013-05-07,1011.84,1018.83,1006.12,1016.81,547931.0,789417920.0
2013-05-08,1022.47,1057.66,1015.89,1051.32,679807.0,938065664.0
2013-05-09,1047.61,1051.04,1032.04,1047.79,749761.0,1165370624.0
2013-05-10,1046.2,1085.06,1042.78,1077.02,775097.0,1168911232.0
2013-05-13,1077.94,1093.69,1076.91,1092.26,675244.0,1059984192.0
2013-05-14,1090.85,1090.85,1052.51,1057.25,621700.0,956375168.0
