date,open,high,low,close,vol,amount
2012-10-10,998.68,1016.18,994.71,1011.78,2645892.0,2630694912.0
2012-10-11,1007.96,1008.85,995.13,995.81,1752771.0,1681785600.0
2012-10-12,998.9,1011.89,983.93,994.52,1860649.0,1627534336.0
2012-10-15,995.24,995.24,976.3,985.39,1709323.0,1651030144.0
2012-10-16,985.71,992.32,980.64,983.53,1574285.0,1390193024.0
2012-10-17,987.16,991.12,974.2,988.42,1634726.0,1598408320.0
2012-10-18,992.39,1009.99,992.04,1006.19,2639854.0,2381312768.0
2012-10-19,1004.75,1010.13,999.98,1009.34,2104578.0,2130020736.0
2012-10-22,1001.96,1013.83,1001.9,1011.1,2216382.0,1964920832.0
2012-10-23,1010.97,1013.4,997.57,999.54,1951065.0,2036315008.0
2012-10-24,993.81,1004.1,993.81,998.0,1532824.0,1564059136.0
2012-10-25,998.76,1009.3,990.74,992.35,2960309.0,2635277056.0
2012-10-26,989.02,992.89,964.1,972.45,2994910.0,2599976448.0
2012-10-29,969.89,980.03,964.35,975.19,1967546.0,1993956608.0
2012-10-30,973.37,977.78,961.37,963.17,1995214.0,1797939968.0
2012-10-31,962.53,967.75,959.43,965.51,1737698.0,1549939968.0
2012-11-01,965.8,984.79,965.8,983.29,2309999.0,2078886656.0
2012-11-02,983.15,983.71,971.34,978.9,1847034.0,1783984128.0
2012-11-05,975.66,979.58,966.14,971.77,2037900.0,2205426688.0
2012-11-06,969.65,973.98,958.25,970.27,2227751.0,2243080448.0
2012-11-07,969.66,974.35,962.5,969.08,1841698.0,1857080064.0
2012-11-08,962.07,962.47,944.76,945.42,1810941.0,1685701632.0
2012-11-09,944.02,947.89,933.68,940.78,2234135.0,1915371392.0
2012-11-12,941.96,947.92,932.52,937.53,2448226.0,2255314432.0
2012-11-13,937.75,937.75,912.36,916.3,2650232.0,2295809024.0
2012-11-14,916.79,922.44,907.77,917.97,1969318.0,1882175360.0
2012-11-15,913.52,917.32,903.83,904.68,1754285.0,1547014272.0
2012-11-16,903.2,904.17,887.93,896.41,1835749.0,1452860928.0
2012-11-19,893.84,893.86,872.55,886.32,1926298.0,1399549824.0
2012-11-20,888.92,894.1,885.33,886.43,1272421.0,1093142528.0
2012-11-21,886.49,896.6,877.56,896.57,1787550.0,1591499392.0
