date,open,high,low,close,vol,amount
2018-05-04,997.69,1002.25,995.6,996.46,20393843.0,18103836672.0
2018-05-07,998.34,1013.52,998.34,1013.51,21297206.0,18149756928.0
2018-05-08,1015.65,1022.85,1015.26,1022.85,23405719.0,20423731200.0
2018-05-09,1021.02,1023.86,1016.7,1022.23,23903385.0,21056212992.0
2018-05-10,1022.84,1028.8,1020.3,1028.64,23089167.0,20284336128.0
2018-05-11,1030.05,1030.17,1018.19,1018.51,22274016.0,18582360064.0
2018-05-14,1016.27,1019.47,1008.61,1011.21,21012821.0,16049369088.0
2018-05-15,1011.07,1019.54,1006.52,1019.54,19003713.0,15743813632.0
2018-05-16,1016.2,1020.13,1012.32,1012.77,21499054.0,16486433792.0
2018-05-17,1011.22,1013.96,1007.29,1009.29,16791992.0,12983459840.0
2018-05-18,1009.2,1014.4,1004.1,1014.0,16947375.0,12850041856.0
2018-05-21,1020.94,1031.5,1020.84,1029.82,21337360.0,17206743040.0
2018-05-22,1029.92,1033.51,1027.02,1033.51,20922964.0,16595647488.0
2018-05-23,1031.03,1032.38,1022.01,1022.01,18517329.0,13952474112.0
2018-05-24,1021.05,1024.68,1016.33,1017.23,15945244.0,12935705600.0
2018-05-25,1016.84,1017.65,1006.85,1007.58,17668872.0,13722958848.0
2018-05-28,1005.6,1006.51,994.66,997.27,18020362.0,13384318976.0
2018-05-29,995.97,1000.47,988.6,989.4,17474177.0,12627315712.0
2018-05-30,975.71,975.71,945.7,947.35,21802319.0,14701551616.0
2018-05-31,953.9,961.21,947.45,961.06,17446704.0,11440367616.0
2018-06-01,957.69,964.86,949.1,954.1,19704655.0,13605408768.0
2018-06-04,955.42,959.23,947.16,948.52,15814753.0,11730531328.0
2018-06-05,948.07,962.59,948.07,962.56,16744752.0,12870767616.0
2018-06-06,961.97,964.61,958.64,963.53,18041714.0,13091325952.0
2018-06-07,966.34,967.28,959.48,959.89,18069541.0,12516604928.0
2018-06-08,958.31,958.31,942.12,949.73,18758779.0,13003701248.0
2018-06-11,945.6,947.73,938.16,943.19,14360254.0,9853119488.0
2018-06-12,943.0,947.83,933.59,947.42,14139530.0,10123216896.0
2018-06-13,945.73,945.73,928.97,929.54,15261900.0,10375398400.0
2018-06-14,925.77,934.2,923.45,925.36,13887348.0,9357145088.0
2018-06-15,925.03,927.28,894.13,897.78,18768675.0,12383784960.0
2018-06-19,882.38,882.39,827.54,834.54,23462245.0,13577326592.0
2018-06-20,827.37,844.44,821.11,838.86,20125373.0,11794893824.0
2018-06-21,838.93,844.46,817.89,818.42,23590864.0,14586048512.0
2018-06-22,812.52,836.72,809.7,835.22,23271357.0,14399258624.0
2018-06-25,843.8,846.61,832.84,833.54,24346109.0,15639690240.0
2018-06-26,823.17,847.51,820.18,847.51,22213132.0,14148753408.0
2018-06-27,849.33,854.18,842.6,845.41,25131250.0,14721399808.0
2018-06-28,843.15,852.37,836.24,837.51,22546958.0,12898598912.0
2018-06-29,837.1,862.88,837.02,862.04,24403069.0,15270634496.0
2018-07-02,859.7,862.95,844.2,849.56,26994554.0,17261369344.0
2018-07-03,848.89,862.01,839.89,862.01,22597245.0,14007780352.0
2018-07-04,855.3,855.38,841.06,845.23,25764332.0,14932877312.0
2018-07-05,840.4,845.05,821.42,821.61,24062482.0,13552743424.0
2018-07-06,819.15,832.44,802.75,823.2,26562203.0,15866516480.0
2018-07-09,823.51,837.13,823.51,837.13,24198566.0,14943256576.0
2018-07-10,838.69,842.9,835.26,842.9,23338090.0,15941891072.0
2018-07-11,831.89,832.02,807.41,819.65,24522724.0,14543371264.0
2018-07-12,819.23,846.08,818.84,844.74,28626993.0,17839861760.0
2018-07-13,842.77,845.89,839.65,842.37,25142627.0,15706193920.0
2018-07-16,839.5,840.9,833.63,839.97,21823220.0,12937758720.0
2018-07-17,840.53,842.49,833.59,842.49,22551053.0,12903384064.0
2018-07-18,843.0,850.14,838.91,838.91,26726260.0,15466593280.0
2018-07-19,836.46,840.56,824.67,826.59,23673728.0,13620070400.0
2018-07-20,824.78,841.26,821.47,840.03,20528494.0,12426370048.0
2018-07-23,838.76,849.42,836.15,849.42,25849281.0,15833421824.0
2018-07-24,849.51,867.26,846.71,865.85,31450006.0,19182675968.0
2018-07-25,865.72,871.34,864.5,868.43,26799596.0,16159740928.0
2018-07-26,868.14,876.57,866.92,874.76,35741589.0,19349813248.0
2018-07-27,872.49,872.49,863.8,864.03,27921429.0,15243153408.0
2018-07-30,860.35,861.68,843.58,847.84,22002997.0,12560862208.0
2018-07-31,844.34,851.14,844.34,848.76,17335228.0,10068749312.0
2018-08-01,850.7,854.88,834.56,834.56,20561535.0,12318047232.0
2018-08-02,830.39,830.48,789.8,807.04,27214031.0,15219551232.0
2018-08-03,805.69,810.16,799.32,799.32,20602337.0,10920639488.0
2018-08-06,796.73,801.67,777.23,781.8,21255510.0,11686310912.0
2018-08-07,781.9,800.77,777.48,800.77,22079844.0,12460690432.0
2018-08-08,799.3,803.62,789.11,789.87,26781049.0,15243852800.0
2018-08-09,787.0,809.74,785.19,806.22,27549268.0,15372280832.0
2018-08-10,805.88,810.96,802.57,810.41,22354876.0,14158582784.0
2018-08-13,800.5,812.22,796.42,811.56,21631817.0,13073186816.0
