date,open,high,low,close,vol,amount
2022-08-10,976.18,1026.41,970.52,995.35,11962962.0,24419119104.0
2022-08-11,1003.48,1041.83,1003.48,1032.2,11126073.0,22811355136.0
2022-08-12,1026.92,1051.51,1006.9,1007.46,13534865.0,26816870400.0
2022-08-15,1000.5,1018.6,993.6,1008.38,12339109.0,22032003072.0
2022-08-16,1010.0,1021.39,1001.46,1012.42,11301806.0,20844439552.0
2022-08-17,1008.88,1028.88,997.52,1017.39,12041910.0,22237644800.0
2022-08-18,998.84,1019.96,989.46,1015.83,10408749.0,19468943360.0
2022-08-19,1012.18,1032.33,978.94,978.95,9652384.0,18466183168.0
2022-08-22,964.33,981.31,958.54,965.56,7037238.0,12184914944.0
2022-08-23,959.05,969.57,951.45,960.24,6790099.0,11553926144.0
2022-08-24,960.02,960.55,909.22,910.55,8014473.0,13767884800.0
2022-08-25,912.74,917.03,883.9,892.99,5807069.0,9514565632.0
2022-08-26,894.74,898.33,868.97,870.23,5274498.0,8440461824.0
2022-08-29,855.35,877.5,854.35,870.45,3890723.0,6114316288.0
2022-08-30,870.6,879.75,859.27,865.31,3857498.0,6269233664.0
2022-08-31,862.26,868.77,841.24,843.61,5155250.0,8011286016.0
2022-09-01,851.07,861.88,838.55,839.74,4382248.0,8619543552.0
2022-09-02,841.01,880.51,841.01,878.82,5259873.0,10264729600.0
2022-09-05,874.71,882.18,862.59,874.25,4716903.0,9009335296.0
2022-09-06,874.73,878.33,865.42,878.33,4197770.0,7597297152.0
2022-09-07,877.63,906.75,876.57,895.55,6775015.0,12603669504.0
2022-09-08,890.04,890.93,868.53,868.53,4665360.0,8508478464.0
2022-09-09,868.4,869.99,851.19,859.46,3358228.0,6096385536.0
2022-09-13,861.12,872.5,852.4,854.24,2839814.0,5163729920.0
2022-09-14,838.59,852.98,836.74,847.8,3301231.0,5842634240.0
2022-09-15,849.05,850.33,804.03,814.51,4349372.0,7210072064.0
2022-09-16,812.11,821.71,800.46,800.46,2989777.0,5301097472.0
2022-09-19,800.48,811.09,783.49,786.49,2905932.0,5195216896.0
2022-09-20,792.59,802.76,789.08,800.13,2817879.0,4563441664.0
2022-09-21,796.78,809.25,785.97,804.7,3034582.0,4819678720.0
2022-09-22,797.8,812.3,797.62,804.32,2442148.0,4028370688.0
2022-09-23,805.15,806.96,775.42,778.01,3063970.0,4808563200.0
2022-09-26,773.12,780.26,765.85,767.49,2213004.0,3539281408.0
2022-09-27,769.8,785.56,769.8,785.56,2534560.0,3988229888.0
2022-09-28,784.92,784.92,756.41,756.57,2703551.0,4086157312.0
2022-09-29,764.07,766.24,747.25,751.11,2122552.0,3304915456.0
2022-09-30,750.67,754.19,732.66,732.66,2007450.0,3148915712.0
2022-10-10,733.27,733.66,706.55,708.71,2369451.0,3846626048.0
2022-10-11,710.18,713.45,701.97,709.8,1817248.0,2743224832.0
2022-10-12,710.36,745.67,708.07,745.15,3218075.0,4626487296.0
2022-10-13,742.91,759.95,740.46,751.42,2907118.0,4190858240.0
2022-10-14,757.5,771.67,754.95,768.94,2867677.0,4277645312.0
2022-10-17,764.98,788.19,762.53,787.57,3072764.0,4403224064.0
2022-10-18,791.67,792.0,777.32,781.81,2745015.0,4103876352.0
2022-10-19,780.57,784.93,772.61,772.65,2886913.0,4148025600.0
2022-10-20,769.62,816.57,765.05,810.44,5812662.0,9128268800.0
2022-10-21,811.1,818.34,793.15,806.56,6562012.0,10071127040.0
2022-10-24,807.63,831.46,803.93,812.06,5489738.0,8773830656.0
